model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
DeepLab,cuda,[1e-05],8,1,False,0.7849786508083344,0.5701764240860939,0.4659368395805359,0.4874544,0.160409614443779,0.4414161315560341,0.0
DeepLab,cuda,[1e-05],8,250,False,0.7760459369421006,0.5638243716955185,0.4754003286361694,0.4985112845897674,0.1754813343286514,0.4605588430166244,0.0
DeepLab,cuda,[1e-05],8,250,False,0.5366553372144699,0.475055071413517,0.5693039894104004,0.607227087020874,0.1811535060405731,0.5344288991391659,1.0
DeepLab,cuda,[9.990133642141359e-06],8,250,False,0.4809320241212845,0.4912980937957764,0.5446474552154541,0.5740199685096741,0.2243854999542236,0.5281613705307245,2.0
DeepLab,cuda,[9.960573506572391e-06],8,250,False,0.4494349503517151,0.4285462801158428,0.6199313998222351,0.6477590203285217,0.2371526509523391,0.5654529130458832,3.0
DeepLab,cuda,[9.911436253643445e-06],8,250,False,0.404383498430252,0.4852590276300907,0.5588045716285706,0.5966964960098267,0.2685454487800598,0.5168127032369375,4.0
DeepLab,cuda,[9.842915805643156e-06],8,250,False,0.3904509824514389,0.4412177570164203,0.616265058517456,0.6564901471138,0.2632196545600891,0.5491850379109382,5.0
DeepLab,cuda,[9.755282581475769e-06],8,250,False,0.3752666670083999,0.3986994850635528,0.6851193904876709,0.7261883616447449,0.2440266162157058,0.5935824637115001,6.0
DeepLab,cuda,[9.648882429441258e-06],8,250,False,0.3529300081729889,0.3718961706757545,0.7054144144058228,0.7230802178382874,0.2893533110618591,0.6163134729117155,7.0
DeepLab,cuda,[9.524135262330098e-06],8,250,False,0.3318682962656021,0.3546657498925924,0.7311691045761108,0.7362655401229858,0.3036352694034576,0.6350622373819351,8.0
DeepLab,cuda,[9.381533400219319e-06],8,250,False,0.3324794584512711,0.3347532076388597,0.737566351890564,0.733721137046814,0.2792384326457977,0.6586335810273886,9.0
DeepLab,cuda,[9.221639627510076e-06],8,250,False,0.3384896236658096,0.4066732461005449,0.6607791781425476,0.6664677262306213,0.2199471890926361,0.5881585337221622,10.0
DeepLab,cuda,[9.045084971874738e-06],8,250,False,0.3292457765340805,0.3695979345589876,0.7041590213775635,0.7384316325187683,0.283925861120224,0.6315477369725704,11.0
DeepLab,cuda,[8.852566213878947e-06],8,250,False,0.3087157690525055,0.3379880047589541,0.7328335642814636,0.7437275648117065,0.2894385755062103,0.649221989735961,12.0
DeepLab,cuda,[8.644843137107058e-06],8,250,False,0.3093339079618454,0.3428500589728355,0.7366717457771301,0.7518789768218994,0.2825536429882049,0.6440581212937833,13.0
DeepLab,cuda,[8.422735529643445e-06],8,250,False,0.2923848325014114,0.3178065010905266,0.7404627799987793,0.7562168836593628,0.2713630795478821,0.6771600521355867,14.0
DeepLab,cuda,[8.18711994874345e-06],8,250,False,0.3097146999835968,0.3380205917358398,0.7222875952720642,0.755943775177002,0.3092283904552459,0.6568344207853078,15.0
DeepLab,cuda,[7.938926261462368e-06],8,250,False,0.2865303534269333,0.3452291555702686,0.7259169220924377,0.759428083896637,0.3080765902996063,0.657978686913848,16.0
DeepLab,cuda,[7.679133974894984e-06],8,250,False,0.2946376860141754,0.3296355088055134,0.7218858599662781,0.7375725507736206,0.2600372433662414,0.6671110127866269,17.0
DeepLab,cuda,[7.408768370508577e-06],8,250,False,0.2725380104780197,0.3358313813060522,0.7414550185203552,0.7567983865737915,0.3093137145042419,0.6569369382411241,18.0
DeepLab,cuda,[7.128896457825364e-06],8,250,False,0.2908774256706238,0.3210349871963263,0.7529118061065674,0.7606146931648254,0.3130467534065246,0.6678567643463611,19.0
DeepLab,cuda,[6.840622763423391e-06],8,250,False,0.2656569892168045,0.3343560107424855,0.7379957437515259,0.7612671852111816,0.3142784833908081,0.6644111040607095,20.0
DeepLab,cuda,[6.545084971874738e-06],8,250,False,0.2479309922456741,0.2980052682757377,0.7634198069572449,0.772605836391449,0.3129089176654815,0.6978825099766255,21.0
DeepLab,cuda,[6.243449435824273e-06],8,250,False,0.2515814477205276,0.324825336933136,0.7498708367347717,0.7786570191383362,0.3221136033535003,0.6756455663591623,22.0
DeepLab,cuda,[5.936906572928625e-06],8,250,False,0.2716584020853043,0.3049609013646841,0.7638134956359863,0.7739364504814148,0.3307459652423858,0.6853670809417963,23.0
DeepLab,cuda,[5.6266661678215225e-06],8,250,False,0.2316253143548965,0.3193927219510078,0.7288256287574768,0.7558519840240479,0.3067977726459503,0.6889865931868553,24.0
DeepLab,cuda,[5.3139525976465675e-06],8,250,False,0.2413062262535095,0.2948472306877374,0.770041823387146,0.772629976272583,0.3239963948726654,0.7044347470253707,25.0
DeepLab,cuda,[5e-06],8,250,False,0.2494399666786194,0.310186149328947,0.7722088098526001,0.7809025645256042,0.3392035067081451,0.6771221703290939,26.0
DeepLab,cuda,[4.686047402353433e-06],8,250,False,0.2413680720329284,0.2962524962425232,0.7581315040588379,0.7646496295928955,0.3293419778347015,0.7027812308073044,27.0
DeepLab,cuda,[4.37333383217848e-06],8,250,False,0.2423563969135284,0.2995417479425669,0.7807258367538452,0.7891534566879272,0.3413524925708771,0.6929279677569866,28.0
DeepLab,cuda,[4.063093427071377e-06],8,250,False,0.2106745785474777,0.317890581600368,0.7563116550445557,0.7858259081840515,0.33642578125,0.6780740673094987,29.0
DeepLab,cuda,[3.756550564175726e-06],8,250,False,0.2181914836168289,0.3015594810992479,0.7790137529373169,0.7852773070335388,0.3515795767307281,0.6875472431629897,30.0
DeepLab,cuda,[3.4549150281252648e-06],8,250,False,0.2137629425525665,0.2964043465256691,0.7607904076576233,0.7821586728096008,0.336041659116745,0.7018935959786177,31.0
DeepLab,cuda,[3.159377236576612e-06],8,250,False,0.2321515643596649,0.2948585654422641,0.7762187123298645,0.7943360209465027,0.3487479090690613,0.702145227380097,32.0
DeepLab,cuda,[2.871103542174637e-06],8,250,False,0.2169064503908157,0.3040418959408998,0.7602698802947998,0.7775548696517944,0.326586365699768,0.6928261470049619,33.0
DeepLab,cuda,[2.5912316294914232e-06],8,250,False,0.219215931892395,0.2811978976428508,0.7645824551582336,0.7861852049827576,0.3368332386016845,0.7183939723670483,34.0
DeepLab,cuda,[2.320866025105016e-06],8,250,False,0.2139599657058715,0.2963624696433544,0.7698563933372498,0.792711079120636,0.3422286808490753,0.6995149504393339,35.0
DeepLab,cuda,[2.061073738537635e-06],8,250,False,0.2221421909332275,0.2972058576345444,0.7768490314483643,0.8025060296058655,0.3390379846096039,0.6935968974232674,36.0
DeepLab,cuda,[1.8128800512565514e-06],8,250,False,0.2283951085805892,0.2874164215102792,0.7770193219184875,0.7961878776550293,0.3439355492591858,0.7101663500443101,37.0
DeepLab,cuda,[1.5772644703565564e-06],8,250,False,0.2194758611917495,0.2881422207504511,0.7770867347717285,0.7969768643379211,0.3411894738674164,0.7071003394573927,38.0
DeepLab,cuda,[1.3551568628929434e-06],8,250,False,0.1902222299575805,0.2881189237907529,0.7730904221534729,0.7943862676620483,0.3573513925075531,0.7094696315005422,39.0
DeepLab,cuda,[1.1474337861210543e-06],8,250,False,0.2100243383646011,0.2786712019518018,0.7757216691970825,0.7972248196601868,0.352487713098526,0.7192760447785258,40.0
DeepLab,cuda,[9.549150281252633e-07],8,250,False,0.1968953263759613,0.2812288504093885,0.7744547128677368,0.7959349751472473,0.3590459525585174,0.7201627197861671,41.0
DeepLab,cuda,[7.783603724899258e-07],8,250,False,0.2037196379899978,0.3083290898799896,0.7754150629043579,0.7979641556739807,0.3587517738342285,0.6865257880836726,42.0
DeepLab,cuda,[6.184665997806822e-07],8,250,False,0.201750972867012,0.2908926970511675,0.7771549820899963,0.8004594445228577,0.3588391542434692,0.7013306667655707,43.0
DeepLab,cuda,[4.758647376699033e-07],8,250,False,0.217004507780075,0.2854460942745209,0.7782200574874878,0.8000425696372986,0.3587419986724853,0.715803169645369,44.0
DeepLab,cuda,[3.511175705587433e-07],8,250,False,0.2207999283075332,0.2964183080941439,0.7805117964744568,0.7992450594902039,0.3576210439205169,0.6960618508607149,45.0
DeepLab,cuda,[2.447174185242324e-07],8,250,False,0.2059927833080291,0.2723750561103225,0.7805335521697998,0.7983479499816895,0.354401558637619,0.7260952317342162,46.0
DeepLab,cuda,[1.5708419435684518e-07],8,250,False,0.2039751404523849,0.2883319836854934,0.7779525518417358,0.7993090748786926,0.3563677072525024,0.7177342909574509,47.0
