model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
Unet,cuda,[1e-05],8,500,False,0.7622027879953385,0.7229720091819763,0.2975693941116333,0.3005359,0.0816731229424476,0.4499246022105216,0.0
Unet,cuda,[1e-05],8,500,False,0.6994597244262696,0.6800307932496071,0.4280052185058594,0.4375704228878021,0.1294292360544204,0.424629518687725,1.0
Unet,cuda,[9.990133642141359e-06],8,500,False,0.661855302453041,0.651372871696949,0.5427066683769226,0.5511135458946228,0.1810934841632843,0.4121489125490188,2.0
Unet,cuda,[9.960573506572391e-06],8,500,False,0.632898088991642,0.642908336520195,0.5854209661483765,0.5962799787521362,0.2138135135173797,0.4054132980108261,3.0
Unet,cuda,[9.911436253643445e-06],8,500,False,0.6082175529003143,0.6321574941277504,0.6343252062797546,0.6429057121276855,0.232703760266304,0.4013547691702842,4.0
Unet,cuda,[9.842915805643156e-06],8,500,False,0.5853651288151741,0.6177647465467453,0.6665452718734741,0.6762052774429321,0.2582502067089081,0.4072172486782074,5.0
Unet,cuda,[9.755282581475769e-06],8,500,False,0.5535810402035714,0.612169990837574,0.6900171041488647,0.695136308670044,0.2532628774642944,0.4019571828842163,6.0
Unet,cuda,[9.648882429441258e-06],8,500,False,0.5356476774811745,0.6009135222434998,0.6850234866142273,0.691042423248291,0.2698666453361511,0.4161175000667572,7.0
Unet,cuda,[9.524135262330098e-06],8,500,False,0.5149017584323883,0.5994835075736046,0.7047231197357178,0.7250918745994568,0.2960506677627563,0.4122692516446113,8.0
Unet,cuda,[9.381533400219319e-06],8,500,False,0.4951195031404495,0.5911023469269275,0.7179332971572876,0.7357600331306458,0.3112321496009826,0.4192683102190494,9.0
Unet,cuda,[9.221639627510076e-06],8,500,False,0.479771586060524,0.5815229752659797,0.7188366055488586,0.7299418449401855,0.2995387613773346,0.4254086151719093,10.0
Unet,cuda,[9.045084971874738e-06],8,500,False,0.4604247078299522,0.5777916318178177,0.7179281115531921,0.7240548729896545,0.3018538653850555,0.4290688717365265,11.0
Unet,cuda,[8.852566213878947e-06],8,500,False,0.445805489718914,0.5697937113046646,0.7014065384864807,0.7171295881271362,0.2865317761898041,0.4428697615861893,12.0
Unet,cuda,[8.644843137107058e-06],8,500,False,0.4352203595638275,0.559794859290123,0.7350969910621643,0.7502970099449158,0.3306526243686676,0.4428179427981377,13.0
Unet,cuda,[8.422735529643445e-06],8,500,False,0.4277342694997788,0.5500449416041374,0.733896017074585,0.7533671855926514,0.3163298070430755,0.4544752050936221,14.0
